"","hbw","hbs","hbr","hbo","nhbw","nhbnw","hbcoll"
"driveAlone",0,0,0,0,0,0,0
"drivePass",0,0,0,0,-1.497076415,-0.212130918,2.249441848
"pass",0,0,0,0,-1.583018636,-0.043115204,1.28870328
"busWalklowInc",-1.095618242,-1.526338246,-0.918878478,-5.579684243,1.649253662,-2.641784668,0.447349736
"busWalkmidInc",-2.051718242,-1.781938246,-2.332278478,-5.659384243,-0.651046338,-3.020484668,-0.590050264
"busWalkhighInc",-2.503918242,-3.186238246,-3.772778478,-8.057484243,-1.570646338,-6.207284668,-1.048150264
"bike",-1.923974862,-2.680722821,-3.302325541,-2.763189032,-4.282625086,-2.886647585,-3.61534967
"walk",-4.274176723,-2.027438248,-2.100178005,-2.914199074,-4.220232232,-3.491964388,-4.118876257
"driveAlonelowInc",0,0,0,0,0,0,0
"driveAlonemidInc",0,0,0,0,0,0,0
"driveAlonehighInc",0,0,0,0,0,0,0
"drivePasslowInc",-2.813532735,-1.077283634,-0.660066096,-0.756944171,0,0,0
"drivePassmidInc",-3.369132735,-1.380783634,-0.584266096,-0.987944171,0,0,0
"drivePasshighInc",-2.618032735,-1.751483634,-0.495166096,-0.549444171,0,0,0
"passlowInc",-1.537999102,-0.868024049,-1.073286984,-0.743098108,0,0,0
"passmidInc",-3.064399102,-1.406124049,-0.205586984,-1.075898108,0,0,0
"passhighInc",-3.158099102,-1.972424049,-0.440086984,-0.608598108,0,0,0
"parkAndRideBuslowInc",-4.904553356,-6.664805411,-9.670567312,-11.32701454,0,0,0
"parkAndRideBusmidInc",-7.236253356,-5.412305411,-8.931467312,-10.87161454,0,0,0
"parkAndRideBushighInc",-7.047453356,-8.472705411,-8.886767312,-10.43261454,0,0,0
