"","hbw","hbs","hbr","hbo","nhbw","nhbnw","hbcoll"
"driveAlone",0,0,0,0,0,0,0
"drivePass",0,0,0,0,-1.4922,-0.208,1.8184
"pass",0,0,0,0,-1.583,-0.0458,0.8719
"busWalklowInc",-0.7501,-0.9607,-0.1803,-5.0622,1.7838,-2.3016,1.2955
"busWalkmidInc",-1.7062,-1.2163,-1.5937,-5.1419,-0.5165,-2.6803,0.2581
"busWalkhighInc",-2.1584,-2.6206,-3.0342,-7.54,-1.4361,-5.8671,-0.2
"bike",-2.0178,-2.8017,-3.4826,-2.9111,-4.3643,-3.0128,-4.1171
"walk",-3.6583,-1.7965,-1.9451,-2.7579,-4.3053,-3.3604,-4.2797
"driveAlonelowInc",0,0,0,0,0,0,0
"driveAlonemidInc",0,0,0,0,0,0,0
"driveAlonehighInc",0,0,0,0,0,0,0
"drivePasslowInc",-2.8081,-1.0686,-0.6545,-0.7508,0,0,0
"drivePassmidInc",-3.3637,-1.3721,-0.5787,-0.9818,0,0,0
"drivePasshighInc",-2.6126,-1.7428,-0.4896,-0.5433,0,0,0
"passlowInc",-1.5159,-0.8544,-1.0677,-0.7354,0,0,0
"passmidInc",-3.0423,-1.3925,-0.2,-1.0682,0,0,0
"passhighInc",-3.136,-1.9588,-0.4345,-0.6009,0,0,0
"parkAndRideBuslowInc",-3.986,-6.163,-9.6328,-11.3118,0,0,0
"parkAndRideBusmidInc",-6.3177,-4.9105,-8.8937,-10.8564,0,0,0
"parkAndRideBushighInc",-6.1289,-7.9709,-8.849,-10.4174,0,0,0
