"SWIMZONE","LOCALZONE","LOCALPCT","SWIMPCT"
2339,1290,100,34.91154843009
2339,1291,100,9.518196279261
2339,1292,46.395761708843,17.381054075172
2339,1293,30.338953376414,38.189201215477
2340,1292,53.604238291157,15.273105371258
2340,1293,69.661046623586,66.689950121477
2360,105,100,40.153301886792
2360,273,100,59.257075471698
2362,272,100,19.253438113949
2362,274,100,14.734774066798
2362,406,100,16.413257025711
2362,407,100,40.757666353463
2362,452,100,8.840864440079
2363,100,100,9.265017349376
2363,101,100,72.964264792033
2363,102,100,0.673696543644
2363,103,100,1.99179847686
2363,104,100,4.335090802578
2363,275,100,0.468658465144
2363,276,100,0.117164616286
2366,269,100,4.285731167533
2366,270,100,13.861661744991
2366,271,100,0.535716395942
2366,336,100,24.724799773809
2366,337,79.789473684211,28.19951584193
2366,338,100,17.879534714554
2366,410,1.108442521943,0.254071378958
2367,337,19.452631578947,9.624946921249
2367,410,98.891557478057,31.734065490941
2370,106,0.765707742951,0.257513253249
2370,277,100,38.869098578727
2370,278,100,49.707277874818
2370,279,2.206907522783,0.770757526067
2370,450,12.659328429582,3.099785702661
2370,451,100,7.295567064478
2371,106,99.234292257049,22.825307758333
2371,107,91.208791208791,6.284490158024
2371,108,4.601226993865,1.135751233378
2371,279,97.793092477217,23.359316846711
2371,280,100,12.233192994875
2371,281,100,13.124236474588
2371,282,100,4.744916263889
2371,290,100,1.665768475621
2371,450,87.340671570418,14.627019794581
2372,130,93.248800548321,6.075210967755
2372,131,98.014705882353,83.333764851339
2372,132,100,9.502424799252
2372,133,16.388842861088,1.088599381654
2373,107,2.197802197802,0.258508039316
2373,108,35.276073619632,14.864212260667
2373,109,99.65483234714,60.2820862451
2373,123,100,6.370376683143
2373,124,4.127048351204,0.627805238339
2373,130,6.751199451679,3.637577410374
2373,131,1.985294117647,13.959434123061
2374,237,88.448742348279,16.784787273624
2374,324,27.272727272727,0.466948781556
2374,409,9.661638809621,0.233474390778
2374,454,100,57.531391545692
2374,455,100,11.437549917048
2374,456,94.440364086676,9.116246368545
2375,231,100,6.036279694741
2375,233,100,5.553928577581
2375,237,11.551257651721,0.776355607619
2375,352,100,0.49613257765
2375,355,100,10.423323905869
2375,356,100,37.012463101659
2375,357,100,1.681338179814
2375,358,100,3.031921307861
2375,359,100,1.275873105389
2375,360,100,0.942942033545
2375,361,100,10.26969264118
2375,362,100,4.504033004395
2375,376,100,1.764026942755
2375,377,100,8.379127978087
2375,378,100,1.040040884999
2375,408,100,5.621440289097
2375,409,90.338361190379,0.773157378391
2375,444,100,0.227853480106
2375,456,5.559635913324,0.190069309262
2376,155,100,18.457819676094
