"Dist","type","driveAlone","drivePass","pass","busWalk","walkBike","schoolBus"
0,1,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,3,0,0,0,0,0,0
1,1,0,0.228,0.35,0,0.201,0.221
1,2,0,0.169,0.26,0.013,0.236,0.322
1,3,0.308,0.153,0.235,0.019,0.173,0.112
2,1,0,0.228,0.35,0,0.201,0.221
2,2,0,0.169,0.26,0.013,0.236,0.322
2,3,0.308,0.153,0.235,0.019,0.173,0.112
3,1,0,0.228,0.35,0,0.201,0.221
3,2,0,0.169,0.26,0.013,0.236,0.322
3,3,0.308,0.153,0.235,0.019,0.173,0.112
4,1,0,0.228,0.35,0,0.201,0.221
4,2,0,0.169,0.26,0.013,0.236,0.322
4,3,0.308,0.153,0.235,0.019,0.173,0.112
5,1,0,0.228,0.35,0,0.201,0.221
5,2,0,0.169,0.26,0.013,0.236,0.322
5,3,0.308,0.153,0.235,0.019,0.173,0.112
