"NAME","ROOMS","TAZ"
"Days Inn Corvallis",76,186
"Super 8 Corvallis",101,190
"Holiday Inn Express",93,190
"Rodeway Inn Corvallis",61,191
"Towne House Motor Inn",65,222
"Galaxie Motel Philomath",15,342
"Hilton Garden Inn Corvallis",153,446
"Comfort Suites Corvallis",95,458
"Motel 6",59,458
"Best Western Grand Manor Corvallis",55,458
"Corvallis Budget Inn",24,475
"Budget Inn of Albany",20,844
"Motel 6 Albany",40,844
"La Quinta Albany",62,846
"Super 8 Albany",71,846
"Valu Inn",24,851
"Comfort Suites Linn County",86,853
"Holiday Inn Express Albany",71,853
"Best Western Prarie Inn Albany",74,853
"Econo Lodge",76,853
"Phoenix Inn Albany",93,870
"Cascades City Center Inn Lebanon",30,1151
"Shaniko Inn Lebanon",30,1152
"Valley Inn Lebanon",28,1168
