Purpose,Duration,DurationLo,DurationHi,Outbound,Inbound,Percent
1,0to2,0,2,0,0,0.779696207
1,0to2,0,2,0,1,0
1,0to2,0,2,1,0,0.220303793
1,2to4,2,4,0,0,0.648833539
1,2to4,2,4,0,1,0.351166461
1,2to4,2,4,1,0,0
1,2to4,2,4,3,1,0
1,4to8,4,8,0,0,0.850831535
1,4to8,4,8,0,1,0.063539417
1,4to8,4,8,0,2,0
1,4to8,4,8,0,3,0.02692967
1,4to8,4,8,1,0,0.02692967
1,4to8,4,8,1,1,0
1,4to8,4,8,1,2,0.031769708
1,4to8,4,8,2,1,0
1,4to8,4,8,3,0,0
1,8to12,8,12,0,0,0.555911235
1,8to12,8,12,0,1,0.21292191
1,8to12,8,12,0,2,0.104956571
1,8to12,8,12,0,3,0.018244952
1,8to12,8,12,1,0,0.054734856
1,8to12,8,12,1,1,0.026615239
1,8to12,8,12,1,2,0.008370285
1,8to12,8,12,1,3,0
1,8to12,8,12,2,0,0.008370285
2,8to12,8,12,2,1,0.009874667
1,12to24,12,24,0,0,0.388988644
1,12to24,12,24,0,1,0.354902506
1,12to24,12,24,0,2,0.04268481
1,12to24,12,24,0,3,0.040272122
1,12to24,12,24,1,0,0.056108849
1,12to24,12,24,1,1,0.087782302
1,12to24,12,24,2,0,0.029260767
2,0to2,0,2,0,0,1
2,0to2,0,2,0,1,0
2,0to2,0,2,0,2,0
2,0to2,0,2,1,0,0
2,0to2,0,2,2,0,0
2,2to4,2,4,0,0,1
2,2to4,2,4,0,1,0
2,2to4,2,4,0,2,0
2,2to4,2,4,0,3,0
2,2to4,2,4,1,0,0
2,2to4,2,4,1,1,0
2,2to4,2,4,1,3,0
2,4to8,4,8,0,0,1
2,4to8,4,8,0,1,0
2,4to8,4,8,0,2,0
2,4to8,4,8,0,3,0
2,4to8,4,8,1,0,0
2,4to8,4,8,1,1,0
2,4to8,4,8,1,2,0
2,4to8,4,8,1,3,0
2,4to8,4,8,2,0,0
2,4to8,4,8,2,3,0
2,4to8,4,8,3,0,0
2,4to8,4,8,3,2,0
2,8to12,8,12,0,0,1
2,8to12,8,12,0,1,0
2,8to12,8,12,0,2,0
2,8to12,8,12,0,3,0
2,8to12,8,12,1,0,0
2,8to12,8,12,1,1,0
2,8to12,8,12,1,2,0
2,8to12,8,12,1,3,0
2,8to12,8,12,2,0,0
2,8to12,8,12,2,1,0
2,8to12,8,12,2,2,0
2,8to12,8,12,2,3,0
2,8to12,8,12,3,0,0
2,8to12,8,12,3,2,0
2,8to12,8,12,3,3,0
2,12to24,12,24,0,0,1
2,12to24,12,24,0,1,0
2,12to24,12,24,0,2,0
2,12to24,12,24,0,3,0
2,12to24,12,24,1,0,0
2,12to24,12,24,1,1,0
2,12to24,12,24,1,2,0
2,12to24,12,24,1,3,0
2,12to24,12,24,3,3,0
3,0to2,0,2,0,0,1
3,0to2,0,2,0,1,0
3,0to2,0,2,0,2,0
3,0to2,0,2,0,3,0
3,0to2,0,2,1,0,0
3,0to2,0,2,1,1,0
3,0to2,0,2,2,0,0
3,0to2,0,2,2,2,0
3,2to4,2,4,0,0,1
3,2to4,2,4,0,1,0
3,2to4,2,4,0,2,0
3,2to4,2,4,0,3,0
3,2to4,2,4,1,0,0
3,2to4,2,4,1,1,0
3,2to4,2,4,1,3,0
3,2to4,2,4,2,0,0
3,2to4,2,4,2,1,0
3,4to8,4,8,0,0,1
3,4to8,4,8,0,1,0
3,4to8,4,8,0,2,0
3,4to8,4,8,0,3,0
3,4to8,4,8,1,0,0
3,4to8,4,8,1,1,0
3,8to12,8,12,0,0,1
3,8to12,8,12,1,0,0
3,12to24,12,24,0,0,1
3,12to24,12,24,1,2,0
4,0to2,0,2,0,0,1
4,0to2,0,2,0,1,0
4,0to2,0,2,0,2,0
4,0to2,0,2,1,0,0
4,2to4,2,4,0,0,1
4,2to4,2,4,0,1,0
4,2to4,2,4,0,2,0
4,2to4,2,4,1,0,0
4,2to4,2,4,2,0,0
4,4to8,4,8,0,0,1
4,4to8,4,8,0,1,0
4,4to8,4,8,0,2,0
4,4to8,4,8,0,3,0
4,4to8,4,8,1,0,0
4,4to8,4,8,1,1,0
4,4to8,4,8,1,3,0
4,8to12,8,12,0,0,1
4,8to12,8,12,0,2,0
4,8to12,8,12,0,3,0
4,8to12,8,12,1,0,0
4,8to12,8,12,1,1,0
4,12to24,12,24,0,0,1
4,12to24,12,24,0,3,0
