Purpose,Duration,DurationLo,DurationHi,Outbound,Inbound,Percent
1,0to2,0,2,0,0,0.749556684
1,0to2,0,2,0,1,0.086403478
1,0to2,0,2,1,0,0.164039837
1,2to4,2,4,0,0,0.616453342
1,2to4,2,4,0,1,0.225279273
1,2to4,2,4,1,0,0.1389559
1,2to4,2,4,3,1,0.019311485
1,4to8,4,8,0,0,0.461298851
1,4to8,4,8,0,1,0.213360413
1,4to8,4,8,0,2,0.02538738
1,4to8,4,8,0,3,0.140581186
1,4to8,4,8,1,0,0.088494229
1,4to8,4,8,1,1,0.028254075
1,4to8,4,8,1,2,0.013090456
1,4to8,4,8,2,1,0.014766705
1,4to8,4,8,3,0,0.014766705
1,8to12,8,12,0,0,0.362320011
1,8to12,8,12,0,1,0.034666437
1,8to12,8,12,0,2,0.090764985
1,8to12,8,12,0,3,0.179660069
1,8to12,8,12,1,0,0.070891292
1,8to12,8,12,1,1,0.011555479
1,8to12,8,12,1,2,0.101039406
1,8to12,8,12,1,3,0.026070343
1,8to12,8,12,2,0,0.123031979
1,12to24,12,24,0,0,0.512503633
1,12to24,12,24,0,1,0.143558314
1,12to24,12,24,0,3,0.270720741
1,12to24,12,24,2,1,0.073217312
2,0to2,0,2,0,0,0.900159757
2,0to2,0,2,0,1,0.055154915
2,0to2,0,2,0,2,0.026070901
2,0to2,0,2,1,0,0.011090745
2,0to2,0,2,2,0,0.007523683
2,2to4,2,4,0,0,0.47862445
2,2to4,2,4,0,1,0.293629682
2,2to4,2,4,0,2,0.102358141
2,2to4,2,4,0,3,0.011388305
2,2to4,2,4,1,0,0.060540835
2,2to4,2,4,1,1,0.03692753
2,2to4,2,4,1,3,0.016531057
2,4to8,4,8,0,0,0.401216073
2,4to8,4,8,0,1,0.234199998
2,4to8,4,8,0,2,0.109885083
2,4to8,4,8,0,3,0.124957081
2,4to8,4,8,1,0,0.028834913
2,4to8,4,8,1,1,0.02394737
2,4to8,4,8,1,2,0.012699066
2,4to8,4,8,1,3,0.03754373
2,4to8,4,8,2,0,0.009199313
2,4to8,4,8,2,3,0.004677578
2,4to8,4,8,3,0,0.004677578
2,4to8,4,8,3,2,0.008162215
2,8to12,8,12,0,0,0.290231202
2,8to12,8,12,0,1,0.169195889
2,8to12,8,12,0,2,0.219058455
2,8to12,8,12,0,3,0.179081614
2,8to12,8,12,1,0,0.020634998
2,8to12,8,12,1,1,0.017540292
2,8to12,8,12,1,2,0.018018098
2,8to12,8,12,1,3,0.027054104
2,8to12,8,12,2,0,0.007345383
2,8to12,8,12,2,1,0.009927578
2,8to12,8,12,2,2,0.010314429
2,8to12,8,12,2,3,0.018583454
2,8to12,8,12,3,0,0.005455057
2,8to12,8,12,3,2,0.003779724
2,8to12,8,12,3,3,0.003779724
2,12to24,12,24,0,0,0.277668477
2,12to24,12,24,0,1,0.200372691
2,12to24,12,24,0,2,0.164176993
2,12to24,12,24,0,3,0.26324642
2,12to24,12,24,1,0,0.017104637
2,12to24,12,24,1,1,0.005253102
2,12to24,12,24,1,2,0.031426621
2,12to24,12,24,1,3,0.02037553
2,12to24,12,24,3,3,0.02037553
3,0to2,0,2,0,0,0.67672914
3,0to2,0,2,0,1,0.137455884
3,0to2,0,2,0,2,0.024674751
3,0to2,0,2,0,3,0.018148328
3,0to2,0,2,1,0,0.04228083
3,0to2,0,2,1,1,0.013096218
3,0to2,0,2,2,0,0.069980435
3,0to2,0,2,2,2,0.017634413
3,2to4,2,4,0,0,0.246233924
3,2to4,2,4,0,1,0.292178983
3,2to4,2,4,0,2,0.110955616
3,2to4,2,4,0,3,0.08306352
3,2to4,2,4,1,0,0.107521543
3,2to4,2,4,1,1,0.044663171
3,2to4,2,4,1,3,0.070641742
3,2to4,2,4,2,0,0.038191649
3,2to4,2,4,2,1,0.006549852
3,4to8,4,8,0,0,0.302006201
3,4to8,4,8,0,1,0.149049808
3,4to8,4,8,0,2,0.23363977
3,4to8,4,8,0,3,0.145603457
3,4to8,4,8,1,0,0.072319965
3,4to8,4,8,1,1,0.0973808
3,8to12,8,12,0,0,0.465469736
3,8to12,8,12,1,0,0.534530264
3,12to24,12,24,0,3,0.36529467
3,12to24,12,24,1,2,0.63470533
4,0to2,0,2,0,0,0.882736299
4,0to2,0,2,0,1,0.082236174
4,0to2,0,2,0,2,0.004264561
4,0to2,0,2,1,0,0.030762966
4,2to4,2,4,0,0,0.719231091
4,2to4,2,4,0,1,0.115851466
4,2to4,2,4,0,2,0.058408197
4,2to4,2,4,1,0,0.075024109
4,2to4,2,4,2,0,0.031485136
4,4to8,4,8,0,0,0.346331624
4,4to8,4,8,0,1,0.170879634
4,4to8,4,8,0,2,0.193873969
4,4to8,4,8,0,3,0.092567354
4,4to8,4,8,1,0,0.027942092
4,4to8,4,8,1,1,0.140463234
4,4to8,4,8,1,3,0.027942092
4,8to12,8,12,0,1,0.291670003
4,8to12,8,12,0,2,0.040879546
4,8to12,8,12,0,3,0.18445688
4,8to12,8,12,1,0,0.367337164
4,8to12,8,12,1,1,0.115656406
4,12to24,12,24,0,0,0.792106909
4,12to24,12,24,0,3,0.207893091
