Purpose,Inbound,StopNumber,MultipleStops,StopPurp1,StopPurp2,StopPurp3,StopPurp4,
1,0,1,0,0.297182629,0,0.259815802,0.443001569,
1,0,1,1,0.05459499,0,0,0.94540501,
1,0,2,1,0.134436384,0,0.432781808,0.432781808,
1,0,3,1,0,0,0.666666667,0.333333333,
1,1,1,0,0.143763811,0,0.481957335,0.374278853,
1,1,1,1,0.181189638,0,0.160621823,0.658188539,
1,1,2,1,0.349198327,0,0.289179272,0.361622401,
1,1,3,1,0.546751618,0,0.223722908,0.229525474,
2,0,1,0,0.197028598,0.193412516,0.257634452,0.351924435,
2,0,1,1,0.128560906,0.161030445,0.234505548,0.475903101,
2,0,2,1,0.052202282,0.159774838,0.421226516,0.366796364,
2,0,3,1,0.289123279,0.044210055,0.508527428,0.158139239,
2,1,1,0,0.020518758,0.346649507,0.295429575,0.33740216,
2,1,1,1,0.040576622,0.236484001,0.199736558,0.523202819,
2,1,2,1,0.061746768,0.389188118,0.185505294,0.36355982,
2,1,3,1,0.05413144,0.579981223,0.144702091,0.221185247,
3,0,1,0,0,0,0.581247422,0.418752578,
3,0,1,1,0,0,0.26198274,0.73801726,
3,0,2,1,0,0,0.463299676,0.536700324,
3,1,1,0,0,0,0.57600037,0.42399963,
3,1,1,1,0,0,0.316420112,0.683579888,
3,1,2,1,0,0,0.56526809,0.43473191,
3,1,3,1,0.037963639,0,0.604621927,0.357414433,
4,0,1,0,0,0,0.354632122,0.645367877,
4,0,1,1,0,0,0,1,
4,0,2,1,0,0,0,1,
4,1,1,0,0.047882072,0,0.089538609,0.862579319,
4,1,1,1,0,0,0,1,
4,1,2,1,0,0,0.455948492,0.544051509,
4,1,3,1,0.139117661,0,0.438294083,0.422588257,
