workStatus,Work,University,Maintenance,Discretionary,Percent
0,0,0,0,0,0.253683
0,0,0,0,1,0.027203
0,0,0,0,2,0.006801
0,0,0,1,0,0.013602
0,0,1,0,0,0.437474
0,0,1,0,1,0.014969
0,0,1,0,2,0.020403
0,0,1,1,0,0.020641
0,0,1,1,1,0.001367
0,0,1,1,3,0.006801
0,0,1,2,0,0.006801
0,0,2,0,0,0.10717
0,0,2,0,1,0.006801
0,0,2,1,0,0.027203
0,0,3,0,0,0.025144
0,0,3,0,1,0.017136
0,0,4,0,1,0.006801
1,0,0,0,0,0.132151072
1,0,0,0,1,0.049014936
1,0,0,0,2,0.012000509
1,0,0,1,0,0.004248839
1,0,1,0,0,0.395441535
1,0,1,0,1,0.01824619
1,0,1,0,3,0.004248839
1,0,1,2,0,0.009379224
1,0,2,0,0,0.116001259
1,0,2,0,1,0.029099365
1,0,2,1,0,0.014616899
1,0,2,1,2,0.01301341
1,0,3,0,0,0.012000509
1,1,0,0,0,0.075123726
1,1,0,0,1,0.004248839
1,1,1,0,0,0.04237367
1,1,1,1,0,0.012000509
1,1,2,0,0,0.01301341
1,1,2,0,1,0.012000509
1,1,2,0,2,0.01301341
1,1,3,0,0,0.006762833
1,2,0,0,1,0.012000509
