workStatus,Work,University,Maintenance,Discretionary,Percent
0,0,0,0,0,0.199715
0,0,0,0,1,0.011744
0,0,0,1,0,0.032991
0,0,0,1,1,0.005142
0,0,0,2,0,0.004549
0,0,1,0,0,0.527945
0,0,1,0,1,0.055736
0,0,1,1,0,0.041868
0,0,1,1,1,0.007788
0,0,1,2,0,0.005292
0,0,1,3,0,0.004549
0,0,1,3,1,0.004549
0,0,2,0,0,0.030188
0,0,2,0,1,0.011901
0,0,2,1,0,0.048255
0,0,2,1,1,0.002646
0,0,3,1,0,0.005142
1,0,0,0,0,0.110325
1,0,0,0,1,0.023738
1,0,0,0,2,0.004201
1,0,0,0,4,0.002101
1,0,0,1,0,0.032177
1,0,0,1,1,0.006302
1,0,0,2,0,0.002101
1,0,0,2,1,0.007694
1,0,1,0,0,0.441392
1,0,1,0,1,0.038794
1,0,1,1,0,0.046644
1,0,1,1,1,0.003611
1,0,2,0,0,0.032177
1,0,2,0,1,0.017017
1,0,2,1,0,0.015506
1,0,3,1,0,0.004082
1,1,0,0,0,0.105177
1,1,0,0,1,0.017607
1,1,0,1,0,0.005712
1,1,1,0,0,0.051936
1,1,1,0,1,0.002101
1,1,1,1,0,0.007223
1,1,1,2,0,0.004082
1,1,2,0,0,0.003611
1,1,2,0,2,0.003611
1,2,0,0,0,0.005712
1,2,0,1,0,0.005366
