RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80
H,2.007E+12,9,600,4,41,1084729,1102938,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2.007E+12,9,600,4,41,1084729,1102938,25,2,1,2,1,4,2,2,0,50,2,2000,160,1,710,0,0,0,0,3,7,0,0,0,1,2,0,21,3,1100,7,4,74700,4,0,0,1,1,74700,0,4,4,4,1,1,6,0,2,0,0,0,16,0,1,0,0,2,2,1,967,0,0,1,62,0,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,24,23,51,43,8,11,43,25,9,51,51,23,25,6,22,24,22,23,23,43,28,23,9,7,41,37,7,28,41,7,7,29,28,26,27,25,24,19,20,36,30,21,7,6,48,50,9,22,48,7,10,24,26,56,31,29,23,23,25,8,28,25,34,40,7,7,43,21,8,39,43,27,24,9,31,25,23,22
H,2.007E+12,9,600,4,41,1084729,1102938,15,2,1,1,0,3,2,2,0,150,2,2,30,1,320,0,0,0,0,3,7,0,0,0,1,2,0,15,3,910,7,4,74600,4,0,0,1,1,74600,0,4,4,4,1,1,7,0,2,0,0,0,6,0,1,0,0,2,2,1,391,0,0,1,25,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15,14,24,16,4,17,4,5,24,15,17,13,12,26,16,27,5,4,14,19,14,13,6,16,21,15,27,20,3,18,4,13,14,4,16,4,25,27,14,16,15,17,20,15,4,14,5,4,26,14,25,17,15,25,15,25,4,4,14,14,14,15,4,14,22,13,29,22,4,18,4,16,17,4,15,4,24,26,14,18
H,2.007E+12,9,600,4,41,1084729,1102938,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2.007E+12,9,600,4,41,1084729,1102938,29,2,1,2,1,3,2,2,0,90,2,30,3,8,300,0,2,500,2,1,6,0,0,0,1,1,0,18,4,1000,9,1,100000,4,0,0,1,1,100000,0,4,4,4,1,1,6,0,2,0,0,0,10,0,1,0,0,0,0,1,797,3,0,1,23,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,10,35,13,29,55,27,38,30,8,45,32,18,23,42,9,6,44,37,23,44,12,34,15,41,37,40,55,36,9,36,30,20,24,37,11,8,34,44,36,22,6,56,9,26,42,44,36,26,18,42,24,42,34,29,12,13,22,21,32,27,8,60,10,36,36,66,42,29,12,40,34,39,26,33,10,11,19,24,25
H,2.007E+12,9,600,4,41,1084729,1102938,5,2,1,1,0,3,2,2,0,60,2,2,30,6,180,0,1,1300,1,1,6,0,0,0,1,1,0,16,4,30,5,2,55400,4,0,0,1,1,55400,0,4,4,4,1,1,3,0,2,0,0,0,30,0,1,0,0,0,0,1,1393,3,0,1,24,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,2,9,5,4,11,6,4,8,5,5,6,10,2,2,2,1,6,9,4,7,2,8,4,6,9,4,6,9,4,5,6,8,2,1,1,2,6,9,5,5,2,9,6,5,9,5,6,7,5,5,6,9,2,2,1,1,5,9,5,6,1,7,5,4,8,4,4,7,6,5,5,8,1,1,2,1,8
H,2.007E+12,9,600,4,41,1084729,1102938,22,4,1,0,0,2,6,0,0,60,2,2,3,3,0,0,0,0,0,0,4,2,690,0,1,3,0,0,1,1,3,4,110000,2,750,8,3,1,110000,0,2,2,2,1,1,4,2,4,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,21,20,38,45,27,38,6,33,7,23,5,8,30,18,15,23,21,21,28,40,6,9,19,24,32,25,23,20,19,30,27,35,6,7,44,46,7,7,40,20,21,28,7,7,26,7,37,5,33,21,31,48,20,22,35,18,21,28,18,6,29,33,22,24,6,18,21,34,25,8,20,22,37,35,7,8,42,50
H,2.007E+12,9,600,4,41,1084729,1102938,19,1,1,1,0,3,2,2,0,60,2,2,10,1,450,0,2,830,2,1,6,0,0,0,1,1,0,18,3,400,9,0,0,0,0,0,1,4,176200,0,4,4,4,1,1,7,0,0,0,0,0,8,0,1,0,0,1,1,1,1154,3,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,6,34,20,39,38,19,30,7,18,17,20,4,19,26,17,6,5,16,18,18,5,29,16,32,35,24,33,5,19,22,20,6,21,26,18,5,5,22,16,22,6,28,17,33,26,17,32,5,23,24,20,6,19,31,15,6,6,21,18,17,6,32,19,30,31,20,31,5,21,19,26,5,16,42,18,5,6,21
H,2.007E+12,9,600,4,41,1084729,1102938,12,2,1,2,1,2,2,2,0,40,2,2,190,1,1200,0,2,1000,2,1,7,0,0,0,1,1,0,18,4,2,7,3,88880,4,0,0,1,1,88880,0,4,4,4,1,1,6,0,2,0,0,0,20,0,1,0,0,2,1,1,1506,3,0,1,33,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,21,21,5,12,20,2,4,10,10,20,12,11,12,12,16,12,13,13,3,4,22,18,4,12,21,4,4,12,11,22,11,13,12,13,23,11,14,9,4,3,18,16,4,13,22,3,4,12,11,19,14,11,11,14,23,11,13,14,4,3,18,19,3,14,21,3,3,13,11,22,13,13,11,12,21,12,13
H,2.007E+12,9,600,4,41,1084729,1102938,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
