SERIALNO,PWGTP,AGEP,RELP,SCHG,SEX,WKHP,ESR,PINCP
2.01E+12,4,12,13,4,1,0,0,0
2.01E+12,25,82,0,0,2,0,6,26900
2.01E+12,26,79,1,0,1,0,6,47800
2.01E+12,15,70,0,0,1,0,6,62300
2.01E+12,17,70,1,0,2,0,6,12300
2.01E+12,44,52,14,0,1,40,1,12000
2.01E+12,29,59,0,0,1,50,1,28000
2.01E+12,13,52,1,0,2,50,1,72000
2.01E+12,6,25,0,0,1,40,1,55000
2.01E+12,4,21,1,0,2,2,6,400
2.01E+12,22,39,0,0,1,40,6,110000
2.01E+12,15,35,1,0,2,0,6,0
2.01E+12,17,11,2,4,1,0,0,0
2.01E+12,17,7,2,3,1,0,0,0
2.01E+12,19,70,0,0,1,0,6,176200
2.01E+12,12,67,0,0,1,0,6,58240
2.01E+12,16,60,1,0,2,9,1,30640
2.01E+12,22,20,14,6,1,7,6,2400
2.01E+12,4,12,13,5,1,0,0,0
2.01E+12,16,53,0,0,2,30,1,10500
2.01E+12,26,56,1,0,1,40,1,39000
2.01E+12,18,62,0,0,2,24,1,25010
2.01E+12,15,67,1,0,1,40,1,51500
2.01E+12,21,22,0,0,2,20,1,31000
2.01E+12,22,24,1,0,1,40,3,9000
2.01E+12,5,29,0,0,2,24,1,10800
2.01E+12,4,11,2,4,2,0,0,0
2.01E+12,4,9,2,3,1,0,0,0
2.01E+12,5,8,2,3,1,0,0,0
2.01E+12,16,67,0,0,1,0,6,8800
2.01E+12,22,53,0,0,1,32,2,82000
2.01E+12,20,59,1,0,2,20,1,12400
2.01E+12,53,58,14,0,2,26,1,15000
2.01E+12,3,52,0,0,1,0,6,0
2.01E+12,5,42,1,0,2,50,1,120000
2.01E+12,3,8,2,3,2,0,0,0
2.01E+12,3,70,0,0,1,0,6,15000
2.01E+12,4,68,1,0,2,0,6,5000
2.01E+12,15,63,0,0,2,9,1,18000
2.01E+12,14,45,1,0,1,45,1,19200
2.01E+12,22,61,0,0,1,0,6,10300
2.01E+12,13,51,1,0,2,4,6,7000
2.01E+12,17,32,0,0,2,40,1,37000
2.01E+12,15,37,1,0,1,30,1,14000
2.01E+12,21,48,0,0,1,45,1,112940
2.01E+12,24,18,2,6,2,17,1,3610
2.01E+12,12,73,0,0,2,0,6,7200
2.01E+12,15,63,1,0,1,0,6,15800
2.01E+12,35,54,2,0,1,0,6,7200
2.01E+12,22,47,0,5,2,0,6,11000
2.01E+12,67,19,2,5,2,4,6,800
2.01E+12,26,11,2,4,1,0,0,0
2.01E+12,12,46,0,0,2,36,1,65400
2.01E+12,13,73,0,0,1,0,6,29600
2.01E+12,15,71,1,0,2,0,6,6000
2.01E+12,21,30,0,0,2,20,1,51000
2.01E+12,15,32,1,0,1,50,1,40000
2.01E+12,17,1,2,0,1,0,0,0
2.01E+12,16,32,0,0,1,48,1,65000
2.01E+12,14,29,1,0,2,20,1,3800
2.01E+12,11,3,2,0,1,0,0,0
2.01E+12,11,0,2,0,2,0,0,0
