TAZ,Maintenance_SOV,Maintenance_HOV,Maintenance_WALKTRAN,Maintenance_WALK,Maintenance_AUSUF0,Maintenance_AUSUF1,Maintenance_ALL,Discretionary_SOV,Discretionary_HOV,Discretionary_WALKTRAN,Discretionary_WALK,Discretionary_AUSUF0,Discretionary_AUSUF1,Discretionary_ALL,AllEmp_SOV,AllEmp_HOV,AllEmp_WALKTRAN,AllEmp_WALK,AllEmp_AUSUF0,AllEmp_AUSUF1,AllEmp_ALL,AllHH_SOV,AllHH_HOV,AllHH_WALKTRAN,AllHH_WALK,AllHH_AUSUF0,AllHH_AUSUF1,AllHH_ALL
1,6.33058,6.62292,9.87334,9.87334,10.92395,9.82575,10.51968,7.23723,7.52957,10.76809,10.76807,11.81884,10.7212,11.41485,7.48633,7.77867,11.07323,11.07316,12.1232,11.02296,11.71793,7.42435,7.71668,11.03495,11.03487,12.08461,10.98331,11.67882
2,6.5549,6.84723,9.87334,9.87334,10.92735,9.84084,10.52887,7.45772,7.75005,10.76809,10.76739,11.82174,10.73556,11.42343,7.70651,7.99884,11.07323,11.07254,12.12595,11.03659,11.72606,7.61852,7.91085,11.03495,11.03298,12.08598,10.99368,11.68464
3,6.89427,7.18661,9.87334,9.87334,10.93416,9.8705,10.54711,7.7757,8.06804,10.76809,10.76759,11.82824,10.76347,11.44063,8.01215,8.30449,11.07323,11.07307,12.13207,11.06222,11.74191,7.8742,8.16654,11.03495,11.0335,12.09082,11.01381,11.69708
4,6.96128,7.25362,8.97453,9.85367,10.74354,9.84446,10.43957,7.91221,8.20455,9.80379,10.74562,11.62918,10.74249,11.33183,8.16421,8.45654,10.16638,11.05161,11.94082,11.04289,11.63746,8.11818,8.41051,10.34281,11.00212,11.92469,10.99658,11.60561
5,5.49501,5.78735,9.87334,9.87334,10.91624,9.79091,10.49866,6.49449,6.78682,10.76809,10.76809,11.81164,10.68865,11.39521,6.73467,7.02701,11.07323,11.07323,12.11636,10.99189,11.69921,6.82219,7.11452,11.03495,11.03495,12.07892,10.95739,11.6632
6,6.0076,6.29994,9.87334,9.87334,10.9202,9.80892,10.50949,6.98706,7.27939,10.76809,10.76809,11.81582,10.7076,11.40661,7.20899,7.50132,11.07323,11.07323,12.1201,11.00887,11.70942,7.20889,7.50122,11.03495,11.03495,12.08221,10.97233,11.67219
7,6.45392,6.74625,9.87334,9.87334,10.92572,9.83365,10.52449,7.31686,7.60919,10.76809,10.76809,11.81999,10.72628,11.41794,7.62374,7.91608,11.07323,11.07323,12.12515,11.03152,11.72315,7.39007,7.68241,11.03495,11.03495,12.08424,10.98147,11.67772
8,7.04076,7.3331,9.87334,9.87334,10.93787,9.8864,10.55696,7.88216,8.17449,10.76809,10.76809,11.8312,10.77512,11.44797,8.24717,8.5395,11.07323,11.07323,12.13793,11.08704,11.75732,7.91332,8.20565,11.03495,11.03495,12.09263,11.01853,11.70034
9,6.12363,6.41597,9.87334,9.87334,10.92141,9.81438,10.51279,7.07103,7.36337,10.76809,10.76806,11.81673,10.71179,11.40914,7.53174,7.82407,11.07323,11.07323,12.12385,11.02571,11.71961,7.27028,7.56261,11.03495,11.03486,12.08279,10.97516,11.67388
10,5.91409,6.20642,9.87334,9.87334,10.91932,9.80494,10.50709,6.72737,7.01971,10.76809,10.76809,11.81336,10.6965,11.39992,7.18929,7.48163,11.07323,11.07323,12.1199,11.008,11.70889,7.01851,7.31085,11.03495,11.03495,12.08043,10.96429,11.66734
11,5.70644,5.99877,9.87334,9.87334,10.91763,9.79728,10.50248,6.55603,6.84837,10.76809,10.76809,11.81206,10.69056,11.39635,6.94521,7.23754,11.07323,11.07323,12.11781,10.99848,11.70316,6.95991,7.25224,11.03495,11.03495,12.07995,10.96209,11.66602
12,5.84085,6.13318,9.87334,9.87334,10.91868,9.80206,10.50536,6.68434,6.97667,10.76809,10.76805,11.81299,10.69487,11.39893,7.05405,7.34638,11.07323,11.07315,12.11862,11.00238,11.70549,7.10437,7.3967,11.03495,11.03481,12.08109,10.9676,11.6693
13,5.80417,6.09651,9.87334,9.87334,10.91838,9.80069,10.50454,6.6327,6.92504,10.76809,10.76809,11.81262,10.69309,11.39787,6.88489,7.17722,11.07323,11.07323,12.11736,10.99645,11.70194,7.15787,7.4502,11.03495,11.03495,12.0817,10.97003,11.6708
14,6.59124,6.88357,9.87334,9.85869,10.91761,9.83047,10.5189,7.36872,7.66105,10.76809,10.75188,11.80931,10.71515,11.40712,7.5242,7.81653,11.07323,11.06434,12.11743,11.01715,11.71218,7.94352,8.23586,11.03495,11.00257,12.07051,10.99277,11.67656
15,6.16278,6.45511,9.87334,9.87242,10.92119,9.81552,10.51325,6.89377,7.18611,10.76809,10.76497,11.81264,10.7004,11.40148,7.04986,7.34219,11.07323,11.07205,12.11781,11.0012,11.70449,7.48977,7.7821,11.03495,11.02858,12.081,10.98141,11.67608
16,5.60895,5.90128,9.87334,9.87311,10.91679,9.79396,10.50043,6.44878,6.74112,10.76809,10.76699,11.81056,10.68626,11.39349,6.6149,6.90724,11.07323,11.07276,12.11533,10.98826,11.69691,7.06033,7.35266,11.03495,11.03202,12.0787,10.9632,11.66594
